id,Title,Author,URL,Bibliography,Brief summary,Use?
1,"UX Design and Agile: A Natural Fit?","n/a","https://github.com/romansorin/research/sources/open_sources","2011. UX design and agile: a natural fit?. Commun. ACM 54, 1 (January 2011), 54-60. DOI: https://doi.org/10.1145/1866739.1866753","",""
2,"Componentizing the Web","Taylor Savage","https://github.com/romansorin/research/sources/open_sources","Taylor Savage. 2015. Componentizing the web. Commun. ACM 58, 11 (October 2015), 55-61. DOI: https://doi.org/10.1145/2814338","",""
3,"A Strategic Approach to Metrics for User Experience Designers","Carl W. Turner","https://github.com/romansorin/research/sources/open_sources","Carl W. Turner. 2011. A Strategic Approach to Metrics for User Experience Designers. J. Usability Studies 6, 2, Article 6 (February 2011), 8 pages.","",""
4,"Sample Size in usability Studies","Martin Schmettow","https://github.com/romansorin/research/sources/open_sources","Martin Schmettow. 2012. Sample size in usability studies. Commun. ACM 55, 4 (April 2012), 64-70. DOI: https://doi.org/10.1145/2133806.2133824","",""
5,"The Evolution of Web Development for Mobile Devices","Nicholas C. Zakas","https://github.com/romansorin/research/sources/open_sources","Nicholas C. Zakas. 2013. The evolution of web development for mobile devices. Commun. ACM 56, 4 (April 2013), 42-48. DOI: https://doi.org/10.1145/2436256.2436269","",""
6,"Max of 5: decision on exact sources will be made with time.","n/a","n/a","n/a","n/a","n/a"
7,"Why Agile Teams Fail Without UX Research","Gregorio Convertino and Nancy Frishberg","https://github.com/romansorin/research/sources/open_sources","Gregorio Convertino and Nancy Frishberg. 2017. Why agile teams fail without UX research. Commun. ACM 60, 9 (August 2017), 35-37. DOI: https://doi.org/10.1145/3126156","",""
